1;0;0;0;154;30
2;26;0;26;26;26
3;0;0;0;0;0
4;0;0;0;0;0
5;26;39;26;26;26
6;0;0;0;0;0
7;0;0;0;0;0
8;0;70;0;70;0
9;0;0;0;0;0
10;0;0;0;0;600
11;0;0;0;0;0
12;242;286;264;154;154
13;0;0;0;0;0
14;264;264;264;198;110
15;0;0;0;0;0
16;440;396;0;150;484
17;0;0;0;0;0
18;0;0;0;0;508
19;0;88;0;85;10
20;0;0;0;0;0
21;0;0;0;0;0
22;0;0;0;0;0
23;0;0;0;0;0
24;0;0;0;0;0
25;0;0;0;0;0
26;0;0;0;0;0
27;0;0;0;0;0
28;10;30;30;30;0
29;0;0;0;0;0
30;0;0;0;0;0
31;0;0;0;0;0
32;0;0;0;0;0
33;0;0;0;0;0
34;1100;0;1600;0;1100
35;0;0;0;0;0
36;0;0;0;0;0
37;0;0;514;0;0
38;0;0;0;0;0
39;120;10;285;0;0
40;0;0;0;0;0
41;0;0;660;0;0
42;0;0;0;0;0
43;0;0;0;0;0
44;0;0;0;0;0
45;0;0;0;0;0
46;0;0;0;0;0
47;0;0;0;0;0
48;0;0;120;10;140
49;0;0;0;0;0
50;0;0;0;0;495
